Dialogue ID,Chapter ID,Dialogue,Character Name,Character ID,Species,Gender,House,Patronus,Wand (Wood),Wand (Core),Place ID,Place Name,Place Category
49,2,"My darling boy! How did you get in there?! How did you get in there? Dursley, oh, Dursley!",Petunia Dursley,32,Human,Female,,,,,8,4 Privet Drive,Dwellings
50,3,It's all right. It's all right.,Petunia Dursley,32,Human,Female,,,,,8,4 Privet Drive,Dwellings
51,3,Ow!,Harry Potter,1,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,8,4 Privet Drive,Dwellings
52,3,What happened?!,Vernon Dursley,21,Human,Male,,,,,8,4 Privet Drive,Dwellings
53,3,"I swear I don't know!  One minute, the glass was there and then it was gone! It was like magic!",Harry Potter,1,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,8,4 Privet Drive,Dwellings
54,3,There's no such thing as magic!,Vernon Dursley,21,Human,Male,,,,,8,4 Privet Drive,Dwellings
55,3,"Awww, smile.  Vernon, just look at him. I can't believe it. In just a week you'll be off to Smeltings.",Petunia Dursley,32,Human,Female,,,,,8,4 Privet Drive,Dwellings
56,3,Caveat Smeltona. Proudest moment of my life.,Vernon Dursley,21,Human,Male,,,,,8,4 Privet Drive,Dwellings
57,3,"Will I have to wear that, too?",Harry Potter,1,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,8,4 Privet Drive,Dwellings
58,3,"What, you? Go to Smeltings?",Petunia Dursley,32,Human,Female,,,,,8,4 Privet Drive,Dwellings
59,3,Ha!,Vernon Dursley,21,Human,Male,,,,,8,4 Privet Drive,Dwellings
60,3,"Oh, don't be so stupid, you're going to the state school where you belong.  And this is what you're gonna be wearing when I've finished dyeing it.",Petunia Dursley,32,Human,Female,,,,,8,4 Privet Drive,Dwellings
61,3,But that's Dudley's old uniform. It'll fit me like bits of old Elephant skin.,Harry Potter,1,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,8,4 Privet Drive,Dwellings
62,3,It'll fit you well enough. Go get the post.  Go!,Petunia Dursley,32,Human,Female,,,,,8,4 Privet Drive,Dwellings
63,3,"Oh, Marge is ill! Ate a funny whelk.",Vernon Dursley,21,Human,Male,,,,,8,4 Privet Drive,Dwellings
64,3,Dad! Look! Harry's got a letter!,Dudley Dursley,31,Human,Male,,,,,8,4 Privet Drive,Dwellings
65,3,"Hey, give it back! It's mine!",Harry Potter,1,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,8,4 Privet Drive,Dwellings
66,3,Yours? Who'd be writing to you?,Vernon Dursley,21,Human,Male,,,,,8,4 Privet Drive,Dwellings
67,3,No more mail through this letterbox.,Vernon Dursley,21,Human,Male,,,,,8,4 Privet Drive,Dwellings
68,3,"Have a lovely day at the office, dear.",Petunia Dursley,32,Human,Female,,,,,8,4 Privet Drive,Dwellings
69,3,Shoo! Go on!,Vernon Dursley,21,Human,Male,,,,,8,4 Privet Drive,Dwellings
70,3,"Fine day Sunday. In my opinion, best day of the week. Why is that, Dudley?",Vernon Dursley,21,Human,Male,,,,,8,4 Privet Drive,Dwellings
71,3,Because there's no post on Sunday?,Harry Potter,1,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,8,4 Privet Drive,Dwellings
72,3,"Ah, right you are, Harry. No post on Sunday. Ha! No blasted letters today. No, sir. Not one single bloody letter, not one.  No, sir, not one blasted, miserable-",Vernon Dursley,21,Human,Male,,,,,8,4 Privet Drive,Dwellings
73,3,AHH! Make it stop! Please make it stop!,Dudley Dursley,31,Human,Male,,,,,8,4 Privet Drive,Dwellings
74,3,"Go away, ahh!",Vernon Dursley,21,Human,Male,,,,,8,4 Privet Drive,Dwellings
75,3,What is it? Please tell me what's happening!,Dudley Dursley,31,Human,Male,,,,,8,4 Privet Drive,Dwellings
76,3,Give me that! Give me that letter!,Vernon Dursley,21,Human,Male,,,,,8,4 Privet Drive,Dwellings
77,3,Get off! Ahh!,Harry Potter,1,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,8,4 Privet Drive,Dwellings
78,3,Ahh!,Vernon Dursley,21,Human,Male,,,,,8,4 Privet Drive,Dwellings
79,3,They're my letters! Let go of me!,Harry Potter,1,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,8,4 Privet Drive,Dwellings
80,3,That's it! We're going away! Far away! Where they can't find us!,Vernon Dursley,21,Human,Male,,,,,8,4 Privet Drive,Dwellings
81,3,"Daddy's gone mad, hasn't he?!",Dudley Dursley,31,Human,Male,,,,,8,4 Privet Drive,Dwellings
82,4,"Make a wish, Harry.",Harry Potter,1,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,10,Hut-on-the-Rock,Dwellings
83,4,Who's there? Ahh!,Vernon Dursley,21,Human,Male,,,,,10,Hut-on-the-Rock,Dwellings
84,4,Sorry 'bout that.,Rubeus Hagrid,5,Half-Human/Half-Giant,Male,Gryffindor,,Oak,,10,Hut-on-the-Rock,Dwellings
85,4,"I demand that you leave at once, sir! You are breaking and entering!",Vernon Dursley,21,Human,Male,,,,,10,Hut-on-the-Rock,Dwellings
86,4,"Dry up, Dursley, you great prune.  Boy, I haven't seen you since you was a baby, Harry, but you're a bit more along than I would have expected. Particularly 'round the middle!",Rubeus Hagrid,5,Half-Human/Half-Giant,Male,Gryffindor,,Oak,,10,Hut-on-the-Rock,Dwellings
87,4,I-I-I'm not Harry.,Dudley Dursley,31,Human,Male,,,,,10,Hut-on-the-Rock,Dwellings
88,4,I-I am.,Harry Potter,1,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,10,Hut-on-the-Rock,Dwellings
89,4,"Oh, well, of course you are! Got something for ya. 'Fraid I might have sat on it at some point! I imagine that it'll taste fine just the same. Ahh. Baked it myself.  Words and all. Heh.",Rubeus Hagrid,5,Half-Human/Half-Giant,Male,Gryffindor,,Oak,,10,Hut-on-the-Rock,Dwellings
90,4,Thank you!,Harry Potter,1,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,10,Hut-on-the-Rock,Dwellings
91,4,"It's not every day that your young man turns eleven, now is it?",Rubeus Hagrid,5,Half-Human/Half-Giant,Male,Gryffindor,,Oak,,10,Hut-on-the-Rock,Dwellings
92,4,"Excuse me, who are you?",Harry Potter,1,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,10,Hut-on-the-Rock,Dwellings
93,4,"Rubeus Hagrid. Keeper of keys and grounds at Hogwarts. Course, you'll know all about Hogwarts.",Rubeus Hagrid,5,Half-Human/Half-Giant,Male,Gryffindor,,Oak,,10,Hut-on-the-Rock,Dwellings
94,4,"Sorry, no.",Harry Potter,1,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,10,Hut-on-the-Rock,Dwellings
95,4,"No? Blimey, Harry, didn't you ever wonder where your mum and dad learned it all?",Rubeus Hagrid,5,Half-Human/Half-Giant,Male,Gryffindor,,Oak,,10,Hut-on-the-Rock,Dwellings
96,4,Learned what?,Harry Potter,1,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,10,Hut-on-the-Rock,Dwellings
97,4,"You're a wizard, Harry.",Rubeus Hagrid,5,Half-Human/Half-Giant,Male,Gryffindor,,Oak,,10,Hut-on-the-Rock,Dwellings
98,4,I-I'm a what?,Harry Potter,1,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,10,Hut-on-the-Rock,Dwellings
99,4,"A wizard. And a thumping good one at that, I'd wager. Once you train up a little.",Rubeus Hagrid,5,Half-Human/Half-Giant,Male,Gryffindor,,Oak,,10,Hut-on-the-Rock,Dwellings
100,4,"No, you've made a mistake. I can't be...a-a wizard. I mean, I'm just... Harry. Just Harry.",Harry Potter,1,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,10,Hut-on-the-Rock,Dwellings
101,4,"Well, just Harry. Did you ever make anything happen? Anything you couldn't explain when you were angry or scared?  Ah.",Rubeus Hagrid,5,Half-Human/Half-Giant,Male,Gryffindor,,Oak,,10,Hut-on-the-Rock,Dwellings
102,4,"Dear, Mr. Potter. We are pleased to inform you that you have been accepted at Hogwarts' School of Witchcraft and Wizardry.",Harry Potter,1,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,10,Hut-on-the-Rock,Dwellings
103,4,"He'll not be going! We swore when we took him in, we'd put a stop to this rubbish!",Vernon Dursley,21,Human,Male,,,,,10,Hut-on-the-Rock,Dwellings
104,4,You knew? You knew all along and you never told me?,Harry Potter,1,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,10,Hut-on-the-Rock,Dwellings
105,4,"Of course we knew. How could you not be? My perfect sister being who she was. Oh, my mother and father were so proud the day she got her letter. We have a witch in the family. Isn't it wonderful? I was the only one to see her for what she was. A freak! And then she met that Potter, and then she had you, and I knew you'd be just the same, just as strange, just as ... abnormal. And then, if you please, she went and got herself blown up. And we got landed with you.",Petunia Dursley,32,Human,Female,,,,,10,Hut-on-the-Rock,Dwellings
106,4,Blown up? You told me my parents died in a car crash!,Harry Potter,1,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,10,Hut-on-the-Rock,Dwellings
107,4,A car crash? A car crash kill James and Lily Potter?,Rubeus Hagrid,5,Half-Human/Half-Giant,Male,Gryffindor,,Oak,,10,Hut-on-the-Rock,Dwellings
108,4,We had to tell him something.,Petunia Dursley,32,Human,Female,,,,,10,Hut-on-the-Rock,Dwellings
109,4,It's an outrage! It's a scandal!,Rubeus Hagrid,5,Half-Human/Half-Giant,Male,Gryffindor,,Oak,,10,Hut-on-the-Rock,Dwellings
110,4,He'll not be going!,Vernon Dursley,21,Human,Male,,,,,10,Hut-on-the-Rock,Dwellings
111,4,"Oh, and I suppose a great Muggle like yourself's going to stop him, are you?",Rubeus Hagrid,5,Half-Human/Half-Giant,Male,Gryffindor,,Oak,,10,Hut-on-the-Rock,Dwellings
112,4,Muggle?,Harry Potter,1,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,10,Hut-on-the-Rock,Dwellings
113,4,"Non magic folk.  This boy's had his name down ever since he was born!  He's going to the finest school of witchcraft and wizardry in the world, and he'll be under the finest headmaster that Hogwarts has ever seen: Albus Dumbledore.",Rubeus Hagrid,5,Half-Human/Half-Giant,Male,Gryffindor,,Oak,,10,Hut-on-the-Rock,Dwellings
114,4,I will not pay for some crackpot old fool to teach him magic tricks!,Vernon Dursley,21,Human,Male,,,,,10,Hut-on-the-Rock,Dwellings
115,4,"Never, insult Albus Dumbledore, in front of me.",Rubeus Hagrid,5,Half-Human/Half-Giant,Male,Gryffindor,,Oak,,10,Hut-on-the-Rock,Dwellings
116,4,Ahh!,Dudley Dursley,31,Human,Male,,,,,10,Hut-on-the-Rock,Dwellings
117,4,"Oh, um, I'd appreciate if you didn't tell anyone at Hogwarts about that. Strictly speaking, I'm not allowed to do magic.",Rubeus Hagrid,5,Half-Human/Half-Giant,Male,Gryffindor,,Oak,,10,Hut-on-the-Rock,Dwellings
118,4,Okay.,Harry Potter,1,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,10,Hut-on-the-Rock,Dwellings
119,4,"Ooh, we're a bit behind schedule. Best be off.  Unless you'd rather stay, of course. Hmm?",Rubeus Hagrid,5,Half-Human/Half-Giant,Male,Gryffindor,,Oak,,10,Hut-on-the-Rock,Dwellings
120,5,"First year students will require: three sets of work robes, one wand.",Harry Potter,1,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,5,The Leaky Cauldron,Diagon Alley
121,5,"Essential bit of equipment, Harry.",Rubeus Hagrid,5,Half-Human/Half-Giant,Male,Gryffindor,,Oak,,5,The Leaky Cauldron,Diagon Alley
122,5,"One pair of dragon-hide gloves.  Hagrid, do they mean for a real dragon?",Harry Potter,1,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,5,The Leaky Cauldron,Diagon Alley
123,5,"Well, they don't mean for a penguin, do they? Heh. Crikey, but not a dragon.",Rubeus Hagrid,5,Half-Human/Half-Giant,Male,Gryffindor,,Oak,,5,The Leaky Cauldron,Diagon Alley
124,5,But you like a dragon?,Harry Potter,1,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,5,The Leaky Cauldron,Diagon Alley
125,5,"Fast and misunderstood beasts, Harry. Fast and misunderstood.",Rubeus Hagrid,5,Half-Human/Half-Giant,Male,Gryffindor,,Oak,,5,The Leaky Cauldron,Diagon Alley
126,5,"All students must be equipped with...one standard size two pewter cauldron and may bring if they desire either an owl, a cat or a toad. Could we find all this in London?",Harry Potter,1,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,5,The Leaky Cauldron,Diagon Alley
127,5,If you know where to go.,Rubeus Hagrid,5,Half-Human/Half-Giant,Male,Gryffindor,,Oak,,5,The Leaky Cauldron,Diagon Alley
128,5,"Ah, Hagrid! The usual, I presume?",Tom,92,Human,Male,,,,,5,The Leaky Cauldron,Diagon Alley
129,5,"No thanks, Tom. I'm on official Hogwarts business today. Just helping young Harry here buy his school supplies.",Rubeus Hagrid,5,Half-Human/Half-Giant,Male,Gryffindor,,Oak,,5,The Leaky Cauldron,Diagon Alley
130,5,Bless my soul. It's Harry Potter.,Tom,92,Human,Male,,,,,5,The Leaky Cauldron,Diagon Alley
131,5,"Welcome back, Mr. Potter, welcome back.",Man,139,,,,,,,5,The Leaky Cauldron,Diagon Alley
132,5,"Doris Crockford, Mr. Potter. I can't believe I'm meeting you at last.",Goblin,132,,,,,,,5,The Leaky Cauldron,Diagon Alley
133,5,Harry P-potter. C-can't tell you how pleased I am to meet you.,Quirinus Quirrell,41,Human,Male,Ravenclaw,,Alder,Unicorn Hair,5,The Leaky Cauldron,Diagon Alley
134,5,"Hello, Professor. I didn't see you there. Harry, this is Professor Quirrell. He'll be your Defense Against the Dark Arts teacher at Hogwarts.",Rubeus Hagrid,5,Half-Human/Half-Giant,Male,Gryffindor,,Oak,,5,The Leaky Cauldron,Diagon Alley
135,5,"Oh, nice to meet you.",Harry Potter,1,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,5,The Leaky Cauldron,Diagon Alley
136,5,"F-fearfully fascinating subject. N-not that you need it, e-eh, Potter? Heheh.",Quirinus Quirrell,41,Human,Male,Ravenclaw,,Alder,Unicorn Hair,5,The Leaky Cauldron,Diagon Alley
137,5,"Yes, well, must be going now. Lots to buy. Heh.",Rubeus Hagrid,5,Half-Human/Half-Giant,Male,Gryffindor,,Oak,,5,The Leaky Cauldron,Diagon Alley
138,5,Goodbye.,Harry Potter,1,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,5,The Leaky Cauldron,Diagon Alley
139,5,"See, Harry, you're famous!",Rubeus Hagrid,5,Half-Human/Half-Giant,Male,Gryffindor,,Oak,,5,The Leaky Cauldron,Diagon Alley
140,5,"But why am I famous, Hagrid? All those people back there, how is it they know who I am?",Harry Potter,1,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,5,The Leaky Cauldron,Diagon Alley
141,5,"I'm not exactly sure I'm the right person to tell you that, Harry.  Welcome, Harry, to Diagon Alley.  Here's where you'll get your quills and ink, and over there all your bits and bobs for doing your wizardry.",Rubeus Hagrid,5,Half-Human/Half-Giant,Male,Gryffindor,,Oak,,5,The Leaky Cauldron,Diagon Alley
142,5,"It's a world class racing broom. Look at it, it's the new Nimbus 2000! It's the fastest model yet.",Boy,138,,,,,,,5,The Leaky Cauldron,Diagon Alley
143,6,"But, Hagrid, how am I to pay for all this? I haven't any money.",Harry Potter,1,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,2,Gringotts Wizarding Bank,Diagon Alley
144,6,"Well, there's your money, Harry.  Gringotts, the Wizard Bank. T'aint no place safer, 'cept perhaps Hogwarts.",Rubeus Hagrid,5,Half-Human/Half-Giant,Male,Gryffindor,,Oak,,2,Gringotts Wizarding Bank,Diagon Alley
145,6,"Uh, Hagrid, what exactly are these things?",Harry Potter,1,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,2,Gringotts Wizarding Bank,Diagon Alley
146,6,"They're goblins, Harry. Clever as they come goblins, but not the most friendly of beasts. Best stick close to me.  Mr. Harry Potter wishes to make a withdrawal.",Rubeus Hagrid,5,Half-Human/Half-Giant,Male,Gryffindor,,Oak,,2,Gringotts Wizarding Bank,Diagon Alley
147,6,And does Mr. Harry Potter have his key?,Merpeople,130,,,,,,,2,Gringotts Wizarding Bank,Diagon Alley
148,6,"Oh. Wait a minute. Got it here somewhere. Hah. There's the little devil.  Oh, and there's something else as well.  Professor Dumbledore gave me this.  It's about you-know-what in vault you-know-which.",Rubeus Hagrid,5,Half-Human/Half-Giant,Male,Gryffindor,,Oak,,2,Gringotts Wizarding Bank,Diagon Alley
149,6,Very well.,Merpeople,130,,,,,,,2,Gringotts Wizarding Bank,Diagon Alley
150,6,"Vault 687. Lamp, please.  Key please.",Griphook,30,Goblin,Male,,,,,2,Gringotts Wizarding Bank,Diagon Alley
151,6,"Didn't think your mum and dad would leave you with nothing now, did ya?",Rubeus Hagrid,5,Half-Human/Half-Giant,Male,Gryffindor,,Oak,,2,Gringotts Wizarding Bank,Diagon Alley
152,6,Vault 713.,Griphook,30,Goblin,Male,,,,,2,Gringotts Wizarding Bank,Diagon Alley
153,6,"What's in there, Hagrid?",Harry Potter,1,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,2,Gringotts Wizarding Bank,Diagon Alley
154,6,"Can't tell you, Harry. It's Hogwarts business. Very secret.",Rubeus Hagrid,5,Half-Human/Half-Giant,Male,Gryffindor,,Oak,,2,Gringotts Wizarding Bank,Diagon Alley
155,6,Stand back.,Griphook,30,Goblin,Male,,,,,2,Gringotts Wizarding Bank,Diagon Alley
156,6,"Best not mention this to anyone, Harry.",Rubeus Hagrid,5,Half-Human/Half-Giant,Male,Gryffindor,,Oak,,2,Gringotts Wizarding Bank,Diagon Alley
157,7,I still need...a wand.,Harry Potter,1,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,4,Ollivanders,Diagon Alley
158,7,"A wand? Well, you'll want Ollivanders.  No place better. Run along there, but wait. I just got one more thing I got to do. Won't be long.",Rubeus Hagrid,5,Half-Human/Half-Giant,Male,Gryffindor,,Oak,,4,Ollivanders,Diagon Alley
159,7,Hello? Hello?,Harry Potter,1,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,4,Ollivanders,Diagon Alley
160,7,"I wondered when I'd be seeing you, Mr. Potter. It seems only yesterday that your mother and father were in here buying their first wands.  Ah. Here we are.  Well, give it a wave.  Apparently not.  Perhaps this.  No, no, definitely not! No matter...  I wonder.  Curious, very curious.",Garrick Ollivander,43,Human,Male,Ravenclaw,,Hornbeam,Dragon Heartstring,4,Ollivanders,Diagon Alley
161,7,"Sorry, but what's curious?",Harry Potter,1,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,4,Ollivanders,Diagon Alley
162,7,"I remember every wand I've ever sold, Mr. Potter. It just so happens that the phoenix, whose tail feather resides in your wand gave one other feather, just one. It is curious that you should be destined for this wand when its brother gave you that scar.",Garrick Ollivander,43,Human,Male,Ravenclaw,,Hornbeam,Dragon Heartstring,4,Ollivanders,Diagon Alley
163,7,And...who owned that wand?,Harry Potter,1,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,4,Ollivanders,Diagon Alley
164,7,"Oh, we do not speak his name. The wand chooses the wizard, Mr. Potter. It's not always clear why, but I think it is clear that we can expect great things from you. After all, He-Who-Must-Not-Be-Named did great things...terrible, yes, but great.",Garrick Ollivander,43,Human,Male,Ravenclaw,,Hornbeam,Dragon Heartstring,4,Ollivanders,Diagon Alley
165,7,Harry! Harry! Happy birthday!,Rubeus Hagrid,5,Half-Human/Half-Giant,Male,Gryffindor,,Oak,,4,Ollivanders,Diagon Alley
166,7,Wow.,Harry Potter,1,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,4,Ollivanders,Diagon Alley
167,8,"You all right, Harry? You seem very quiet.",Rubeus Hagrid,5,Half-Human/Half-Giant,Male,Gryffindor,,Oak,,5,The Leaky Cauldron,Diagon Alley
168,8,"He killed my parents, didn't he? The one who gave me this. You know, Hagrid, I know you do.",Harry Potter,1,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,5,The Leaky Cauldron,Diagon Alley
169,8,"First, and understand this, Harry, 'cause it's very important. Not all wizards are good. Some of them go bad. A few years ago, there was one wizard who went as bad as you can go. And his name was V-...his name was V-...",Rubeus Hagrid,5,Half-Human/Half-Giant,Male,Gryffindor,,Oak,,5,The Leaky Cauldron,Diagon Alley
170,8,Maybe if you wrote it down?,Harry Potter,1,Human,Male,Gryffindor,Stag,Holly,Phoenix Feather,5,The Leaky Cauldron,Diagon Alley
171,8,"No, I can't spell it. All right.  Voldemort.",Rubeus Hagrid,5,Half-Human/Half-Giant,Male,Gryffindor,,Oak,,5,The Leaky Cauldron,Diagon Alley
